stock,buy_date,sell_date,buy_reason,sell_reason,buy_price,sell_price,loss_pct,actual_post_days,recovered,recover_days,max_potential_pct,post_gain_pct,buy_date_norm,key,profit_pct,is_win,holding_bars,adx,pdi,mdi,pdi_mdi_ratio,is_strong_trend,atr_pct,vs_ma5,vs_ma10,vs_ma20,vs_ma60,is_bullish_align,ma5_slope,recent_gain3,recent_gain5,body_pct,body_ratio,upper_shadow_ratio,lower_shadow_ratio,vol_ratio,reversal_ratio,prev5_drop,rsi,macd_diff,macd_dea,macd_hist,macd_hist_prev,macd_hist_slope,kdj_k,kdj_d,kdj_j,kdj_cross,boll_upper,boll_mid,boll_lower,boll_pctb,boll_width,cci,wr,mfi,bias6,bias12,bias24
001301,2026-06-29,2026-07-03,影线后收阳,止损清仓,66.73999786376953,61.189998626708984,-8.462502327316768,10,False,0,-4.854656828702711,3.77512898371388,2026-06-29,001301_2026-06-29,-8.462502327316768,False,4,12.27741440495796,23.25695968389584,19.394438371382805,1.1991561311830676,False,6.539235866745413,3.2040555137913804,2.7006201746222027,3.508972747477912,13.184185058587005,True,0.1890126788420921,0.846173399835953,0.922426486748469,10.974390656972828,0.7560136105609003,0.0,0.322727509175505,1.5944728737629204,2.7731073580348227,-3.455967434308411,56.002,1.05,1.316,-0.532,-0.973,0.4409999999999999,59.97052405592599,59.93859048980485,60.034391188168286,True,69.299,64.477,59.656,0.7346259321548819,14.955720644570944,-3.4580410202957856,13.82,63.79733570275134,2.817,3.74,3.523
002270,2026-03-04,2026-03-12,影线后收阳,盈利锁定,34.56999969482422,33.0099983215332,-4.665321217227994,10,False,0,-4.512587176923167,0.0,2026-03-04,002270_2026-03-04,-4.665321217227994,False,8,46.33287193079409,28.657651147399655,10.688922049243056,2.6810609166552077,True,5.818421874592603,0.3366796394126764,0.963784830350418,6.8409742757961025,20.900192820836168,True,0.3845928821541522,3.5339931918106138,1.9463280754407857,4.18926876691924,0.5167286614376453,0.9352516603545749,0.0,1.154896680536088,0.8424230934623085,0.8108122040530873,59.001,1.466,1.434,0.063,0.109,-0.046,63.863647514018325,69.08578783979979,53.41936686245538,False,36.411,32.356,28.302,0.7729682691853764,25.061812337742616,66.40285315581514,19.757,64.66416599492985,0.601,2.506,7.565
002407,2024-10-23,2024-11-01,多头排列形成,盈利锁定,11.59000015258789,11.520000457763672,-0.7629522558294324,10,True,1,25.88438274808944,26.64930184751212,2024-10-23,002407_2024-10-23,-0.7629522558294324,False,9,37.83912005974887,40.32752519233085,18.730820357211115,2.153003681806456,True,6.021199569695759,3.0955341405728505,2.921588578008506,6.379073624847166,14.185318078037442,True,1.0607697657057829,4.039495470346765,5.363637750799006,1.5775662364851557,0.4090919928127567,0.7777730682829653,0.6666649006061119,1.3360510150478833,1.200005086275956,3.5390142781135734,59.677,0.399,0.404,-0.01,-0.03,0.0199999999999999,44.98135679179211,36.79904046021573,61.3459894549449,True,13.083,10.895,8.707,0.6588208758199018,40.16521340064249,3.840598838154404,57.051,60.040597148711335,3.467,0.797,9.04
002461,2024-08-13,2024-08-21,影线后收阳,止损清仓,8.399999618530273,8.199999809265137,-2.5370938549850357,10,True,2,2.7381012661389517,5.24390628265535,2024-08-13,002461_2024-08-13,-2.5370938549850357,False,8,55.149617380436176,34.48279093903749,4.137928993323948,8.333345254273658,True,2.4659853712192046,0.7435800321138263,2.5515777314028543,5.507751903963943,0.0,False,0.3852632998817124,0.2386575634395413,1.9417457749564655,1.449274026921029,0.705881362968282,0.0833353201567206,0.3333333333333333,1.3324001938098162,2.399988555951859,2.72614963256948,75.872,0.28,0.253,0.054,0.06,-0.0059999999999999,83.76051479634329,82.44707849138798,86.38738740625391,True,8.512,7.961,7.411,0.8982739496187766,13.82992086421305,86.47589241999815,10.101,79.87472615622703,0.941,3.682,5.988
002461,2024-10-10,2024-10-17,影线后收阳,止损清仓,8.890000343322754,8.75,-1.7322400296423413,10,True,1,7.76152478893386,9.485713413783484,2024-10-10,002461_2024-10-10,-1.7322400296423413,False,7,38.20565773406911,37.806855558647754,13.747937543245062,2.750001986823387,True,4.909208844660007,-0.4479236363386231,4.612855272934988,6.754733532885932,9.350339951248364,True,0.903956114859624,-3.787872689016913,4.711432072888129,3.372092430110646,0.4833337306980108,1.0344802638718524,0.0344835524044105,1.062060118167064,0.5686271209894274,8.301885072285515,59.713,0.195,0.106,0.18,0.191,-0.011,54.889932597052486,58.18511863981909,48.29956051151929,False,9.151,8.327,7.504,0.8415302630982113,19.779032064368923,79.55747049417586,53.138,73.98588992068127,0.376,5.77,6.84
002461,2024-12-24,2025-01-07,影线后收阳,止损清仓,9.5,9.1899995803833,-3.4178948322997624,10,False,0,-2.2105267173365544,1.0881434824348022,2024-12-24,002461_2024-12-24,-3.4178948322997624,False,14,39.30784868418817,36.88764529454946,13.54468268602086,2.72340416897476,True,2.6090213230678017,2.591792233956116,2.8583795714619673,5.867275710315861,7.599954934954872,True,0.7397740476625208,4.510449290755885,3.7117921206510474,2.925248874912227,0.7714290385338499,0.0740756439056782,0.2222198674748159,1.405449567320238,3.0,0.5446539803746714,66.214,0.173,0.128,0.091,0.071,0.02,75.22789309872131,68.98814286553181,87.70739356510029,True,9.55,8.974,8.397,0.9566348655680826,12.848228214842884,89.63890316750842,3.158,74.06049219322966,2.777,3.91,6.807
002461,2026-06-12,2026-06-16,影线后收阳,止损清仓,9.390000343322754,8.899999618530273,-5.369930085488136,10,False,0,-5.218324886866707,0.0,2026-06-12,002461_2026-06-12,-5.369930085488136,False,4,15.305605415389438,21.63460039528567,21.153850856380966,1.0227263367870294,False,4.746692111909448,3.3458098200030575,0.8918048554267314,0.4654188829892653,-1.2946932081819371,False,0.397790729670223,6.947615363367849,1.9544006995682577,5.387211045239913,0.7868865017486645,0.1041649695917284,0.1666663355300933,1.303758862636177,2.086962831506145,-2.297593328871028,49.832,-0.125,-0.101,-0.048,-0.104,0.0559999999999999,38.01179311341986,34.84115802242502,44.353063295409555,True,9.911,9.346,8.782,0.538529976370907,12.080034239246732,-29.496037767862216,44.604,61.901594278229595,3.111,0.428,-0.04
002498,2025-12-24,2025-12-31,影线后收阳,止损清仓,3.849999904632568,3.7899999618530273,-1.7158993688449264,10,True,2,12.207799446001918,13.984174542028727,2025-12-24,002498_2025-12-24,-1.7158993688449264,False,7,31.532256619904288,37.85048925946517,19.626173013911835,1.928572077329349,True,3.9703152495269447,1.049867780938753,-0.3107213928307358,3.106586121412435,3.5874410479995498,True,0.1577285583381173,0.2604164241347407,0.785339578901603,2.393614744616607,0.4736836161311452,0.7777804268756275,0.3333333333333333,1.0680219614489734,1.8,-2.331604057390195,55.461,0.04,0.034,0.012,0.012,0.0,41.59482931872425,49.02706264130428,26.730362673564187,False,4.046,3.734,3.422,0.6858972830650131,16.71130155329406,17.475736345585993,40.741,75.12389490133185,1.006,0.566,4.183
002810,2024-10-18,2024-10-29,影线后收阳,盈利锁定,13.829999923706056,13.65999984741211,-1.3871982810894996,10,True,8,6.290671658412739,7.613469791143926,2024-10-18,002810_2024-10-18,-1.3871982810894996,False,11,63.80980177527527,45.95085374686877,8.917202924127173,5.1530568652351825,True,5.676065942604469,0.7576868193536831,0.3628447044762645,10.839510847429151,21.129844172205665,True,0.8078733828667811,1.2445100892600074,4.141567784593693,3.363227245263293,0.6923078051686243,0.4444442089692048,0.0,1.1299534058847238,1.3636361009161055,-2.181819568980824,63.64,0.713,0.634,0.159,0.204,-0.0449999999999999,41.620870448530205,53.33267707367262,18.197257198245367,False,15.273,12.477,9.682,0.7419066220186111,44.81045123026367,42.92233661219775,33.192,65.92846499330139,1.306,2.186,13.021
002810,2026-05-06,2026-05-11,影线后收阳,盈利锁定,27.579999923706055,27.540000915527344,-0.3047490741123742,10,True,1,6.7077606475248075,6.862742653660682,2026-05-06,002810_2026-05-06,-0.3047490741123742,False,5,62.62413631230516,32.606677065669416,14.935072288167502,2.183228606901519,True,5.583755728331787,0.8335752153354201,2.0045854528937164,9.108890757683506,29.040307447126956,True,-0.8194931830718682,1.2110088943341455,-3.935908034834259,3.9577806629650345,0.5172408285218992,0.0,0.9333353920603376,1.317975307137385,1.8750004257478687,1.763807489137145,65.507,1.688,1.677,0.023,0.074,-0.051,62.589072189072745,69.18405908609577,49.3990983950267,False,29.24,25.278,21.315,0.7905362679755276,31.351372735184736,42.43310426755625,21.944,58.619315889150954,0.006,3.347,10.661
